latlong,beautiful,boring,depressing,lively,safe,wealthy,lat,lon,node_id,division,lat_trans,lon_trans,ismtpn
"-38.71810412,-72.55514306666666",0.1929962466438537,-0.1524830271055994,-0.16181285390095,0.061418833906897,-0.0189985458305446,0.0433439680499838,-38.71810412,-72.55514306666666,1067068091,Temuco,-8076801.580614446,-4681372.469678275,0.536172472435914
"-38.71810412,-72.55576889333332",-0.222791588204646,0.1428099450629417,0.1743957425157964,-0.1171770397489555,-0.0607784778549955,-0.130361547926566,-38.71810412,-72.55576889333332,446184602,Temuco,-8076871.247320304,-4681372.469678275,0.536172472435914
"-38.71848916,-72.55451724",-0.4078580066354318,-0.0872411300641335,0.2263494637345093,0.066925572624787,-0.1887762317944579,-0.1987118706807107,-38.71848916,-72.55451724,446366988,Temuco,-8076731.913908589,-4681427.405297289,0.536172472435914
"-38.71848916,-72.55514306666666",-0.276722982401554,-0.0855023646952439,0.21489528279845,-0.1792743195903561,-0.4039565531495759,-0.334137992002286,-38.71848916,-72.55514306666666,2038355465,Temuco,-8076801.580614446,-4681427.405297289,0.536172472435914
"-38.71848916,-72.55576889333332",-0.3108336934920122,0.1452767343268002,0.2908040171037303,-0.3299532220537262,-0.3813862262402254,-0.4290530897229518,-38.71848916,-72.55576889333332,5143955761,Temuco,-8076871.247320304,-4681427.405297289,0.536172472435914
"-38.71848916,-72.55639472",0.1156092550834144,0.2689063350121922,-0.0182705904872235,-0.171678402293159,0.1532659747692495,0.098315903459345,-38.71848916,-72.55639472,5869602916,Temuco,-8076940.9140261635,-4681427.405297289,0.536172472435914
"-38.7188742,-72.55389141333333",-0.5746461712515103,-0.0644326354566748,0.4726428391816528,-0.275041297141338,-0.7586536417441301,-0.6413355737080491,-38.7188742,-72.55389141333333,704726956,Temuco,-8076662.24720273,-4681482.341212268,0.536172472435914
"-38.7188742,-72.55451724",-0.1705413953838226,0.1267321866995493,0.0890661965540877,-0.1136757913354762,-0.0760425175200607,-0.1161371114907821,-38.7188742,-72.55451724,704726958,Temuco,-8076731.913908589,-4681482.341212268,0.536172472435914
"-38.7188742,-72.55514306666666",0.0392121908576126,-0.2162246307442593,-0.0881143271517792,0.2625272558533875,0.0902439365901148,0.126500775120391,-38.7188742,-72.55514306666666,2038355447,Temuco,-8076801.580614446,-4681482.341212268,0.536172472435914
"-38.7188742,-72.55576889333332",-0.105036322335684,0.448732522330009,0.2490088935864984,-0.4664923905571798,-0.146861803668717,-0.2543175850190116,-38.7188742,-72.55576889333332,2038355455,Temuco,-8076871.247320304,-4681482.341212268,0.536172472435914
"-38.7188742,-72.55639472",-0.5077790326424949,0.3966897384993685,0.4825691398215277,-0.4997555380420667,-0.4248198746999365,-0.5408334014804013,-38.7188742,-72.55639472,5869602918,Temuco,-8076940.9140261635,-4681482.341212268,0.536172472435914
"-38.7188742,-72.55702054666666",0.4592653943953455,0.2801749204698484,-0.2212052946990557,-0.3043181189276316,0.183512460488787,0.122287468621141,-38.7188742,-72.55702054666666,1745025086,Temuco,-8077010.5807320215,-4681482.341212268,0.536172472435914
"-38.71925924,-72.55389141333333",-0.2845735882091937,-0.1148098205263088,0.2088389138705917,0.0358439933069216,-0.1717454416630299,-0.2036958743898338,-38.71925924,-72.55389141333333,446187142,Temuco,-8076662.24720273,-4681537.277423217,0.536172472435914
"-38.71925924,-72.55514306666666",-0.351741464231595,-0.0231948907935142,0.3754309294095956,-0.3105022520718952,-0.5464129880585311,-0.5233768214636374,-38.71925924,-72.55514306666666,2038355404,Temuco,-8076801.580614446,-4681537.277423217,0.536172472435914
"-38.71925924,-72.55576889333332",0.0725055037647579,0.3680021039253199,0.0304796713924906,-0.1949755344188457,0.2121581897390108,0.1072803583045978,-38.71925924,-72.55576889333332,2038355404,Temuco,-8076871.247320304,-4681537.277423217,0.536172472435914
"-38.71925924,-72.55639472",-0.4781631827569805,0.2891830053559838,0.4609699887083125,-0.4688989513199564,-0.5319767201198238,-0.6539382568932102,-38.71925924,-72.55639472,1236682401,Temuco,-8076940.9140261635,-4681537.277423217,0.536172472435914
"-38.71964428,-72.55514306666666",-0.1197266114532835,-0.1454069190916863,-0.0185358816860896,0.1817835650082837,0.08832697641945,-0.0525198437758218,-38.71964428,-72.55514306666666,704726955,Temuco,-8076801.580614446,-4681592.213930142,0.536172472435914
"-38.71964428,-72.55576889333332",-0.1713082992138042,0.3017149835745533,0.1822151696141232,-0.2559457596474987,-0.0511222653806613,-0.1626505804253284,-38.71964428,-72.55576889333332,446184599,Temuco,-8076871.247320304,-4681592.213930142,0.536172472435914
"-38.71964428,-72.55639472",-0.6614488180102904,0.3602023162008473,0.6411637098967686,-0.7434736451323563,-0.8765720969773017,-0.9778262115332316,-38.71964428,-72.55639472,5869602921,Temuco,-8076940.9140261635,-4681592.213930142,0.536172472435914
"-38.71964428,-72.55764637333333",0.4317786888914749,-0.1033935485294034,-0.3115960850224928,0.1542342005582575,0.3085524470230067,0.4067228904447844,-38.71964428,-72.55764637333333,1053552450,Temuco,-8077080.2474378785,-4681592.213930142,0.536172472435914
